Member,Concept Name,Description,Category
,Tensegrity bed,"Bed in tensegrity shape, people sleep within it and can feel more secure",Tensegri-Home
,Tensegrity crutch,"Stronger, and more functions and shapes available",Tensegri-Home
,Edible tensegrity robots,Build robots out structural candy (gummies and hard candy) kids eat afterwards,Tensifood
,Tensegrity exoskeleton for athletes,,Tensegrity Clinic
,Tensegrity bookshelf,,Tensegri-Home
,Tensegrity Furniture,,Tensegri-Home
,Tensegrity blender,,Tensegri-Home
,Tensegrity bulletproof vests,Use tons of small/strong tensegrities and fill a vest with them like a sandbay,Tensiwear
,Tensegrity grenades,,Weapon
,Tensegrity Animatronics,Big animals or shapes that can be controlled ,Tensishapes
,Tensegrity Morphing buildings,,Tensishapes
,Natural Tensegrity,"Use natural materials for construction; e.g., bamboo, twine, etc.",Tensegrity Materials
,Trashsegrity,Design competition to construct tensegrity from landfill materials,BEST Competitions
,Alternative fuelsegrity,Use natural gas or plutonium to propel tensegrities,Power Source
,3rd world tensegrities,Use waste materials to create tensegrity for 3rd world countries,Tensegrity Materials
,Tensegrity habitats,Use tensegrity structures to simulate habitats for animals who have lost their homes,Tensegrity housing
,Tensegrity laptop stand,Make a portable laptop stand using tensegrity,Tensegri-Home
,Tensegrity rollercoaster,Create roller coaster structure with tensegrity,Fun-segrity
,Recyclesegrity,Create tensegrity out of puely recycled plastic and metal,Tensegrity Materials
,Solar powered tensegrity,Tensegrity that is powered by solar ,Power Source
,Tensegrity-themed yoga,Yoga moves inspired by tensegrity structures,Fun-segrity
,Tensegrity trampolines,Stretch fabric on large tensegrity and use as a trampoline,Fun-segrity
,Tensegrity shake-weight,Gives the user vigorous exercise without the embarassing motion of a typical shake-weight,Fun-segrity
,Tensegrity shoes,The shoes with a ttensegrity structure in the bottom as a buffer,Tensiwear
,Tensegrity wind chimes,jingle in the wind,Tensegri-Home
,Tensegrity windmills,Cheaper,Power Source
,Dog house made of tensegrity,,Tensegrity housing
,Tensegrity drums,Pull tight drum-fabric around tensegruty and make music,Fun-segrity
,Tensegrity hats,Cute,Tensiwear
,Tensegrity van,,Tensportation
,Tensegrity supports / cases for instruments,Foldng properties,Tensegri-Home
,Tensegrity garage,available for more cars,Tensegri-Home
,Tensegrity roof,collect water and remove snow for options,Tensegrity housing
,Tensegrity bridge,allowo cars to go different roads and exits while rotating,Tensportation
,Tensegrity elevator,Can move vertivally and ??,Tensportation
,Tensegrity aero-dynamic monopolators on cars and planes,Improve fuel efficiency,Tensportation
,DIY Robot Kit,Kit built out of everyday items,Fun-segrity
,Tensegrity Weather Balloon,Use robot's impact handling capabilities to allow it to enter dangerous weather situations,Research & Science
,Tensegrinstrument,Tensegrity robot uses varied cable tension to change notes,Tensishapes
,Tensegrity Teaching Buddy,12-year curriculum where robot grows up with child,Personal Assistant
,Tensegrity Shield,Robot's impact resistance used as shield,Tensiwear
,Tensegrity Crane,Large tensegrity structure with some kind of gantry ,Tensegri-Home
,Tensegrity Supports for Computers,Use to help as a cooling system for computers,Tensegri-Home
,Tensegrity Robot Directing Traffic,Robot directs traffic,Personal Assistant
,Tensegrity Roads,Roads dynamically change depending on traffic,Tensportation
,Tensegrity Sponges,Fill tensegrity with sponge material and make bars out of abrasive material for dish cleaning,Tensegri-Home
,Tensegrity Sushi Bar,Robot carries sushi to customers,Tensegri-Home
,Tensegrity Shoe Sole,Mini-robot inserted within shoe soles,Tensiwear
