Member Name,Concept Title,Description,Cluster
Alex,Remote-Controlled,Remotely move buoys to areas with better signal,Form Factor
Beshoy,Capsule,Using a capsule like system that can easily detach,Form Factor
Beshoy,Airplane ,A solar-powered wifi plane that spreads wifi,Form Factor 
Beshoy,Hover-Board,Using Energy to create a moving wifi using hover/air technology,Form Factor 
Albert,Embedded wifi hotspot in ice,"Easy Cooling, Easy to Setup",Form Factor
Hunter,Archer tower,Buoy attracts birds so that people can hunt birds on it,Form Factor
Hunter,Wifi Whale,Attach a wifi antenae to the fin of a whale so that it migrates with it,Form Factor
Hunter,Wifi Mast,Stick the wifi stuff in the mast of a boat so that it spreads it all over the bay,Form Factor
Hunter,wifi kite,Stick the wifi stuff in a kite,Form Factor
Akhi,plants,grow trees on buoy for birds to land on,Form Factor
Albert,Safety Beacon,Bright Light on buoy warns ships to avoid running into it,Form Factor
Albert,Biodegradable Buoy,Made out of biodegradable material to avoid pollution and poisoning fish,Form Factor
Hunty,Wifi attachment pack,a wifi hotspot that attaches to pre-existing buoys,Form Factor
Albert,Stabilizing Structure,Structure lowers CG of the buoy in order to survive turbulent water,Form Factor
Beshoy ,Flodable Solar Panles ,To help protect the panels during heavy wind or water turbelance ,Form Factor 
Beshoy,Twist and pulll Container,"Compartimatatization of the components such as the battery below,then the device then the power to help with troubleshooting",Form Factor
Beshoy,Open-loop Cooling,By introducing a constant flow of water pressure throughout the system to help keep tempearture down and extend the components life-time. ,Form Factor
Albert,Light saturated Solar Panels,Increases effective area of solar panels by directing more light toward them,Form Factor
Albert,Shipping Routes,Put Buoys along common shipping routes in order to provide wifi to sailors,Location
Hunter,Cruise Routes,Put Buoys along common cruise routes so that the passengers can have wifi,Location
Akhi,Beaches,Have beaches purchase ocean wifi for their guests,Location
Alex,Private Island,Have islands purchase ocean wifi for their guests,Location
Stephanie,Underwater Hotels,Have underwater hotels purchase ocean wifi for their guests,Location
Beshoy ,Known Attractions ,Have attractions hotels purchase ocean wifi for their guests,Location 
Stephanie,Between island clusters,kill multiple birds with one stone by placing buoys between islands,Location
Akhi,Add motion,The buoy moves to find sunlight,Location 
Hunter,wifi ocean pathway,multuple wifi buoys placed along the most popular boat and cruise routes,Location
Albert,Green Buoy (Trash Collector),Buoy collects trash from the ocean,Secondary Function
Hunter,Fishing Dock,Have the buoy be a dock where fisherman can anchor to,Secondary Function
Albert,Food / Water for Stranded,Buoy contains emergency supplies of food and water for emergencies on the open ocean,Secondary Function
Hunter,Safety Buoy,Have the buoy be a safe space for peoples narratives,Secondary Function
Stephanie,Electronics Station,"TV mounted on top, outlets with phone chargers available",Secondary Function
Stephanie,Dolphin Attractor,"Buoy emits noise to attract dolphins, tourists flock to watch and LiveStream via wi-fi",Secondary Function
Alex,Aquarium,Buoy attracts local fish for viewing,Secondary Function
Alex,Power Outlets,Charging for smartphones,Secondary Function
Alex,Magnetic Metal Collector,Collects lost items in the ocean,Secondary Function
Alex,Satellite Phone,Has a phone for people without their devices,Secondary Function
Hunter,Snorkel and wifi hotspot,The hotspot also dispenses food for snorkelers,Secondary Function
Hunter,Sun-batheing buoy,a buoy where people can sun-bathe,Secondary Function
Hunter,Buoy Lighthouse,Buoy also serves as a lighthouse around dangerous rocks or cliffs,Secondary Function
Hunter,Fish zapper,attracts lightning and zaps fish so that fishing them is easy and we can eat them,Secondary Function
Hunter,buoy skype screen,able to skype family members or friends with a screen,Secondary Function
Hunter,fish food dispenser,buoy dispenses food so that fisherman can catch fish easier,Secondary Function
Beshoy ,Recycler,Recycles waste into organice matter that can be easily disolved in water,Secondary Function
Akhi,Grows Algae,"Good for environment, takes in CO2",Secondary Function
Albert ,Fish Bait Dispenser,Buoy dispenses fishbait to attract fish and as a result fishermen who can use the service,Secondary Function
Akhi,Charging station vending machine,A rest stop in the ocean where you can buy stuff,Secondary Function
Stephanie,Animal Rescue Station,Provides a safe place for hurt animals to rest from swimming,Secondary Function
Akhi,Hot tub,Make area near buoy a hot top,Secondary Function
Albert,Desalinator,Desalinates water to contain a fresh-water emergency source for lost travelers,Secondary Function
Albert,Buoy Telephone Booth,Contains telephone that allows poeple to call their friends from the water (great for getting publicity),Secondary Function
Hunty,videotaping drones,"a drone, connected to our wifi byo films people surfing. These surfers can connect to the buoy to watch themselves",Secondary Function
Hunty,wifi surf buoy,a buoy located at popular surfing spots that provides wifi to surfers. it will allow them to connect their smart watches and gopros to it,Secondary Function
Hunty,Green Buoy (Trash Collector),the wifi buoy can also float around and clean the plastic waste in the bodies of water,Secondary Function
Beshoy ,"As an anchor spot, refuling station ",By serving as a fuling station to help people reful their boats. ,Secondary Function
Beshoy ,Geographical or monitoring station,To monitorÿchanges in the ecosystem through a series of observations. useful for oceanography. ,Secondary Function
Stephanie,Sea Creature Watcher,"On-board videocamera records what's going on below the surface, showing marine animals in natural habitat",Secondary Function
Albert,Rain Catcher,Catches Rain to contain a fresh water supply for lost travelers,Secondary Function
Alex,Battery Tracker,Tracks data about buoy,Buoy Data
Alex,Energy Consumption,Tracks data about buoy,Buoy Data
Alex,Maintenance Report,Tracks data about buoy,Buoy Data
Alex,Internet Performance,Tracks data about buoy,Buoy Data
Stephanie,Buoy to Buoy Communication,Buoys farther from land can steal wi-fi from nearby ones if they are too far from original signal,Buoy Data
Alex,GPS Coordinates,Tracks data about buoy,Buoy Data
Stephanie,Time-in-field Alert,Automatic notifications when buoy lifetime expectancy is approaching,Buoy Data
Beshoy ,Emergency Alerts,Automatic notifications when buoy lifetime expectancy is approaching,Buoy Data 
Akhi,User Input,have users say where they want buoys most,Buoy Data 
Beshoy ,Digital Readout ,A digitial interface with important information display ,Buoy Data 
Stephanie,Critical Component Check,"have a way to send an alert if critical components fail, such as if a shark bites into the pipe",Buoy Data
Beshoy ,Solar Performance,A readout of the input of the solar-panles or a input power readout ,Buoy Data
Alex,Thermometer,collects information on ocean temperatures in different locations at different times,Secondary Data Collection
Alex,Ocean Movement,tells how much the ocean is moving on a given day,Secondary Data Collection
Alex,Weather Report,provides information on what the weather is like at that time in that area,Secondary Data Collection
Alex,Browser History,sell user data,Secondary Data Collection
Stephanie,Wind Speed / Direction,useful for sailors to know this info before going out,Secondary Data Collection
Akhi,array network,use an array network so that the signal is spread over multiple buoys from 1 location,Secondary Data Collection
Beshoy ,Health of the Ocean monitoring,"collects information on various ""ocean health"" measures",Secondary Data Collection
Beshoy ,Activity Tracker,Using a tracker to find internet activity such as a social network or videos to find and locate demands of users. ,Secondary Data Collection
Beshoy ,A signal Light ,To help saliors find there way during nighttime or storms,Secondary Data Collection
Akhi,Shark repellant,make swimming safe again,Secondary Data Collection
Stephanie,Migration Patterns,Collect data on migration patterns of sea creatures,Secondary Data Collection
Alex,Sponsor Ads on Buoy,Sponsors allowed to put stickers physically on buoy,Pricing / Revenue Generation
Alex,Sponsor Ads on Internet,"Sponsor name pops up in internet browser saying ""powered by""",Pricing / Revenue Generation
Albert,Public Service,Get government funding for the public service,Pricing / Revenue Generation
Albert,Users pay,have users pay for access,Pricing / Revenue Generation
Stephanie,Beach Business Sponsor,local businesses offer wi-fi password with certain purchases,Pricing / Revenue Generation
Hunter,Buoy advertisments,"advertise on tv, internet, newspapers that you can buy this buoy",Pricing / Revenue Generation
Stephanie,Ferry Boat Complimentary Wi-Fi,"ferries offer complimentary wi-fi to passengers as leg up on competition, rather than lowering prices",Pricing / Revenue Generation
Albert,Partner with GoPro / Fitbit,Allow cloud storage for go pro-ers on the ocean,Pricing / Revenue Generation
Stephanie,Partner with Amazon (Drones),Drones capture video footage of surfers/sailors that they can later purchase,Pricing / Revenue Generation
Alex,Sponsorship Balloon,Sponsors pay for buoy and get to attach balloon advertisements to buoy,Pricing / Revenue Generation
Stephanie,Beach Equipment,Shacks on the beach selling surfboards and snorkeling equipment can provide wi-fi password to customers,Pricing / Revenue Generation
Beshoy,Internet Providers,Internet providers (like Comcast) offer ocean coverage to customers,Pricing / Revenue Generation
Beshoy,Cruises,Cruise lines can advertise free wi-fi as a perk to customers,Pricing / Revenue Generation
Alex,Snapchat Geofilter,people want to send Snapchats from the middle of the ocean,Pricing / Revenue Generation
Stephanie,Google Partnership,Similar to how Google sponsors wi-fi in Starbucks,Pricing / Revenue Generation
