Team Member,Concept Name,Short Description,Clustering
Kristal,Pre-organized,Make a place for every type of food so everything has its place and things don't get lost,Organization
Kristal,"""Eat me first"" section",reminds users to eat foods that are going bad first,Organization
Kristal,"""FIFO"" programmed fridge","""First In First Out"" mechanically integrated through a rotating mechanism that puts newer items in the back and older items towards the front",Organization
Kristal,Hanging Shoe Holder,"similar to hanging shoe holder in a closet, stacks produce vertically. good visibility, takes up less space than rigid shelves",Organization
Kristal,Food Tracker,Tells user which foods have been in the fridge for how long and when they go bad,Shelf Tech
Kristal,Self Cleaning Fridge,"Uses ultrasonic oscillation to collect particles, hydrophobic surfaces",Shelf Tech
Kristal,More freezer,Freezer keeps food better longer. How about a medium between frozen and refrigerated?,Temp Control
Kristal,Compartments of different temperatures,perhaps several drawers in the fridge that are each at a different temperature zaccording to different food needs,Temp Control
Kristal,Temperature control specifics,alert user when fridge is too warm. ,Temp Control
Kristal,Sneaky Smaller,"Make the fridge smaller without the consumer realizing so that they buy and store less food, waste less",Whole New Fridge
Kristal,circle low fridge,low fridge in a cirle shape. easy to spin and see all items. everything accessible.,Whole New Fridge
Shaun,Item Tracking with Voice and App,"Put item in, say what it is, it appears on a list on a phone app",Apps/Tech
Shaun,Food Spoilage Notifcation System,Detechs food spoilage which notifies you via a mobile application,Apps/Tech
Shaun,Window Fridge,Transparent insulating panels on doors of fridge,Door Tech
Shaun,Turn-table refrigerator,shuffle around platforms so left-front is always empty,Drawer Tech
Shaun,Sticky wall refrigerator,You can stick items to walls of refrigerator,Drawer Tech
Shaun,3-day Reminder System,Panels are made of tiles that glow. Tiles glow when there's pressure for 3 days,Freshness Indication
Shaun,Mini-fridge Roomba,Goes around empty spaces of fridge cleaning it,Non-Fridge Concept
Shaun,Modular fridge for roommates,A fridge split by a divider for two people,Organization
Shaun,Modular Organizers ,"Fridge comes with no panels nore shelves nor racks. You choose what racks, panels shelves you want. ",Organization
Shaun,Delivery Box Fridge Compartment,Place to put the box in the fridge,Organization
Shaun,Semi-vending fridge,"Right side is regular fridge, left side is vending machine",Organization
Shaun,Vertical Panel Sliding Action,The panels holding up food items in fridge can slide up or down,Shelf Tech
Shaun,Slider Panel Attachment,Add-on to most refrigerators that includes panels that can slide up or down,Shelf Tech
Shaun,Pull-down shelves,Pull down different shapes of shelves from top to allow stacking with ease of access,Shelf Tech
Shaun,Vending Machine Fridge,"Place item in receiver, say what it is, tap on item on fridge display, item is dispensed",Whole New Fridge
Shaun,Carousel Fridge,Carousel-like shelves,Whole New Fridge
Shaun,Modular Fridge for sizes,You build you fidge with separate blocks like you would a Nike shoe,Whole New Fridge
Shaun,Pull-down refrigerator,Fridge on ceiling. You pull it down like a shoe rack,Whole New Fridge
Shaun,1-item depth refrigerator,The depth only allows 1-item but it is long and wide made of glass panels,Whole New Fridge
Shaun,Expandable refrigerator,You can increase the depth of fridge and retract for aesthetic,Whole New Fridge
Steven,Delivery System,Integrated food order system on the refridgerator,Apps/Tech
Steven,Bulk Share,A app that allows people to share bulk purchases from wholesale stores.,Apps/Tech
Steven,Particle Sensor,Sensors in each compartment that detects common particles that are released by spoiled food,Chemistry Tech
Steven,Fresh Food Compartment,Pull out door for perishable goods,Door Tech
Steven,Pull out doors,"Doors that pull out, rather than open.",Door Tech
Steven,Pull-out and rotating doors,Doors that pull out then rotate but are individually smaller that conventional spaces.,Door Tech
Steven,Pull out produce door with temperature and climate control,Has an individual compartment for climate control,Door Tech
Steven,Vaccum enabled compartments,Compartments that can be vaccum sealed by control to preserve food.,Drawer Tech
Steven,Food Freshness Indicator,A sensor system that tracks freshness,Freshness Indication
Steven,Wellness Indication System,A produce compartment which has face indication of freshness based on bio-indicators,Freshness Indication
Steven,Wellness Indication On devliered Food Containers,Each container that is delivered has a wellness indication system that changes with time.,Non-Fridge Concept
Steven,Compartmentalized space organized by day,Allows user to known when they bought or last used an item,Organization
Steven,Individual Leftover compartment,A compartment dedicated to leftovers with individual pressure sensors for each space.,Organization
Steven,Individually Controlled Shelves,Shelf space that can be made larger or smaller,Shelf Tech
Steven,Slope and textured shelving,"Shelves that are slanted to improve visibilty, textures to avoid slipping.",Shelf Tech
Steven,Temperature and humidity alarm,An indication system which notifies users when and where climates are sufficient.,Shelf Tech
Steven,Pressure sensing shelves,"Shelves that a pressure sensored to detect items that haven't moved, or moved little.",Shelf Tech
Steven,Slide out panels,Compartments and shelves can be manually or electronically moved out or up,Shelf Tech
Steven,Compartmentalized produce space with temperature control,Compartmentalize produce area to keep fresher and organized.,Temp Control
Steven,Dark colored interior design with lighting,Dark color intersior to eliminate appearance of emptiness,Whole New Fridge
Steven,Accelerated thawing compartment,A seperate compartment which allows users to thaw their foods quickly and efficiently,Whole New Fridge
Zelia,Amazon Locker style fridge,Place an order and fridge pops open correct drawer to get out just that item ,Apps/Tech
Zelia,Fridge contents display on door,"outside display of fridge contents with their expiration dates, voice entry or manually ",Apps/Tech
Zelia,Thermo-light,hot and cool lights inside fridge that respond to temperature differences,Apps/Tech
Zelia,Mold spores absorber,removes air borne mold spores to prevent bad food from spreading ,Chemistry Tech
Zelia,Extra large door shelves,make interior shelves shallower and door shelves larger to increase visibility and accessibility,Door Tech
Zelia,Clear fridge door,"Dark glass door so that can see inside without opening, but still aesthetically pleasing ",Door Tech
Zelia,Clear door that can install on exisiting fridge,"Same as the glass door idea before, but made so that can replace the existing door on any fridge that the customer might already own ",Door Tech
Zelia,Slide out trays,"Less empty white space, easier access, cleanable",Drawer Tech
Zelia,Freeze/defrost container,"Optimized for moving between fridge and freezer, prevents freezer burn, and ensuring good defrosting process",Drawer Tech
Zelia,Immersed produce,Store fresh produce and herbs immersed in a tank of alcohol,Drawer Tech
Zelia,Condiment lid expiration alert,attachement for cap/bottle lids that change color as item gets close to expiring ,Freshness Indication
Zelia,Information card,"educational material about food waste, preservation methods, when to toss",Non-Fridge Concept
Zelia,Fridge improvement kit,package best ideas for improving an existing frige into an easy to use kit,Non-Fridge Concept
Zelia,Customizable modular organization system,"Website/ in-store experience where can choose own shelves, bins and drawer arrangement and easily swap them out as needs change over time",Organization
Zelia,Cooked beans container,"often wasted item, container to better preserve them",Organization
Zelia,Temperature and humidity monitoring system,"most effective actuon for preserving food longer is keep at consistent, correct temperature and correct humidity",Temp Control
Zelia,Multiple Mini-fridges,use small refrigerators and freezers specialized for different items and distributed throughout kitchen,Whole New Fridge
Zelia,Inflatable refrigerator,"Make larger and smaller as needed,: accomodate your bulk shopping, shrink to prevent over purchasing",Whole New Fridge
Zelia,Built in composting,"Refridgerator automatically tosses any spoiled food, removes human error in premature tossing",Whole New Fridge
Zelia,Shelf/Interior Coatings,"hydrophobic coatings to prevent frost and condensation, self cleaning",Whole New Fridge
